IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,nombre,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,Conexion,Clima,Dispositivo,Dispositivos_conectados,Dia,Localizacion,etapa_dia,operador,velocidad_descarga_contratada_MEGABITS,velocidad_subida_contratada_MEGABITS,pais,PIB_percapita_pais_dolares
181.58.38.92,6/4/2021 11:05,GMT,6.04,6.3,305,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Cielo parcialmente cubierto,escritorio ,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 11:05,GMT,5.41,6.76,303,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Cielo parcialmente cubierto,portatil,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 11:06,GMT,6.55,7.74,274,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Cielo parcialmente cubierto,escritorio ,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 11:07,GMT,6.14,7.91,266,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Cielo parcialmente cubierto,portatil,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 11:07,GMT,61.22,8.48,10,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Cielo parcialmente cubierto,escritorio ,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,Colombia,5332.8
181.58.38.92,6/4/2021 11:08,GMT,60.96,8.25,14,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Cielo parcialmente cubierto,portatil,9,Martes,"6.240133, -75.585679",mañana,claro,60,10,Colombia,5332.8
181.58.38.92,6/4/2021 16:00,GMT,5.34,6.17,300,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Nublado,escritorio ,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 16:01,GMT,5.46,6.19,303,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Nublado,portatil,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 16:02,GMT,6.74,7.84,266,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Nublado,escritorio ,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 16:02,GMT,6.71,7.05,280,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Nublado,portatil,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 16:03,GMT,63.91,8.38,10,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Nublado,escritorio ,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,Colombia,5332.8
181.58.38.92,6/4/2021 16:04,GMT,62.21,8.46,11,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Nublado,portatil,10,Martes,"6.240133, -75.585679",tarde,claro,60,10,Colombia,5332.8
181.58.38.92,6/4/2021 21:00,GMT,5.45,6.08,304,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Nublado,escritorio ,6,Martes,"6.240133, -75.585679",noche,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 21:01,GMT,5.95,6.72,304,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Nublado,portatil,6,Martes,"6.240133, -75.585679",noche,claro,60,10,China,10500.4
181.58.38.92,6/4/2021 21:02,GMT,6.77,7.06,269,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Nublado,escritorio ,6,Martes,"6.240133, -75.585679",noche,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 21:02,GMT,6.84,7.72,283,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Nublado,portatil,6,Martes,"6.240133, -75.585679",noche,claro,60,10,Taiwan,28306
181.58.38.92,6/4/2021 21:06,GMT,60.24,8.32,12,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Nublado,escritorio ,6,Martes,"6.240133, -75.585679",noche,claro,60,10,Colombia,5332.8
181.58.38.92,6/4/2021 21:06,GMT,62.22,8.93,14,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Nublado,portatil,6,Martes,"6.240133, -75.585679",noche,claro,60,10,Colombia,5332.8
181.58.38.92,6/5/2021 11:02,GMT,6.33,6.19,302,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Soleado,escritorio ,9,Miercoles,"6.240133, -75.585679",mañana,claro,60,10,China,10500.4
181.58.38.92,6/5/2021 11:04,GMT,6.01,6.82,302,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Soleado,portatil,9,Miercoles,"6.240133, -75.585679",mañana,claro,60,10,China,10500.4
